ticker,Date,ShortVolume,ShortExemptVolume,TotalVolume,short_int
PLUG,2021-01-12,27326781.0,607178.0,42409998.0,0.644347613503778
PLUG,2021-01-13,42270426.0,115501.0,60846449.0,0.6947065390783939
PLUG,2021-01-14,21604335.0,60806.0,39034403.0,0.553469077008812
PLUG,2021-01-15,15453250.0,387779.0,33368494.0,0.4631090033610747
PLUG,2021-01-19,9959873.0,216816.0,26018742.0,0.3827961013641628
PLUG,2021-01-20,16055115.0,24723.0,26616243.0,0.603207409851195
PLUG,2021-01-21,9311227.0,29941.0,24043746.0,0.3872619100201774
PLUG,2021-01-22,7010028.0,27508.0,14973930.0,0.46814884268859275
PLUG,2021-01-25,6582997.0,29119.0,12792370.0,0.5146033924909926
PLUG,2021-01-26,15644054.0,74331.0,26141480.0,0.5984379614314109
PLUG,2021-01-27,10659569.0,602808.0,20870616.0,0.5107452985575509
PLUG,2021-01-28,6250791.0,411570.0,11579186.0,0.5398299155052868
PLUG,2021-01-29,3971551.0,9151.0,7387632.0,0.5375945905264367
DAR,2021-01-04,199976.0,8242.0,319223.0,0.6264460894108507
DAR,2021-01-05,99037.0,209.0,244278.0,0.40542742285428895
DAR,2021-01-06,230194.0,3247.0,1044492.0,0.22038847592896835
DAR,2021-01-07,144929.0,100.0,550002.0,0.2635063145224926
DAR,2021-01-08,122215.0,3.0,330621.0,0.3696528653654789
DAR,2021-01-11,149762.0,0.0,342929.0,0.43671430529351557
DAR,2021-01-12,84296.0,50.0,248284.0,0.3395144270271141
DAR,2021-01-13,76526.0,24.0,280029.0,0.27327883897739164
DAR,2021-01-14,93761.0,900.0,492884.0,0.19022934402415173
DAR,2021-01-15,161713.0,203.0,414776.0,0.3898803209443169
DAR,2021-01-19,121590.0,270.0,711467.0,0.1709004071868407
DAR,2021-01-20,165345.0,500.0,751171.0,0.22011632504449719
DAR,2021-01-21,148724.0,100.0,529824.0,0.2807045358458658
DAR,2021-01-22,78967.0,300.0,463347.0,0.17042734710702778
DAR,2021-01-25,134806.0,0.0,436401.0,0.3089039667645124
DAR,2021-01-26,127849.0,15283.0,283525.0,0.4509267260382682
DAR,2021-01-27,216506.0,9160.0,949115.0,0.22811355842021253
DAR,2021-01-28,176039.0,6689.0,549876.0,0.3201430868050251
DAR,2021-01-29,205164.0,100.0,410399.0,0.49991349881456826
RH,2021-01-04,117969.0,432.0,181690.0,0.6492872475094942
RH,2021-01-05,57484.0,50.0,85353.0,0.6734854076599534
RH,2021-01-06,76820.0,0.0,146962.0,0.5227201589526544
RH,2021-01-07,104576.0,1207.0,195107.0,0.5359930704690247
RH,2021-01-08,62452.0,552.0,117695.0,0.5306257699987256
RH,2021-01-11,37418.0,0.0,100155.0,0.37360091857620686
RH,2021-01-12,54580.0,30.0,125146.0,0.4361305994598309
RH,2021-01-13,42240.0,112.0,120040.0,0.35188270576474506
RH,2021-01-14,51188.0,1.0,141099.0,0.362780742599168
RH,2021-01-15,84311.0,0.0,123211.0,0.6842814359107547
RH,2021-01-19,42011.0,0.0,104218.0,0.40310694889558424
RH,2021-01-20,46503.0,2900.0,94412.0,0.49255391263822396
RH,2021-01-21,44632.0,0.0,87657.0,0.5091664099843709
RH,2021-01-22,29679.0,24.0,60747.0,0.4885673366586004
RH,2021-01-25,45325.0,0.0,94646.0,0.47888975762314306
RH,2021-01-26,44422.0,0.0,100689.0,0.44118026795379833
RH,2021-01-27,62343.0,713.0,263352.0,0.23672878884534768
RH,2021-01-28,64370.0,23.0,156515.0,0.4112704852570041
RH,2021-01-29,45704.0,120.0,86099.0,0.530830787814028
LAD,2021-01-04,29609.0,700.0,44231.0,0.6694173769528159
LAD,2021-01-05,22398.0,600.0,37270.0,0.600965924335927
LAD,2021-01-06,52042.0,0.0,92756.0,0.5610634352494718
LAD,2021-01-07,37115.0,0.0,79084.0,0.4693111122350918
LAD,2021-01-08,31428.0,1400.0,66384.0,0.4734273318872017
LAD,2021-01-11,12696.0,97.0,31923.0,0.3977069824264637
LAD,2021-01-12,22674.0,0.0,61879.0,0.3664247967808142
LAD,2021-01-13,29605.0,9.0,59332.0,0.4989718870086968
LAD,2021-01-14,30980.0,300.0,74726.0,0.41458127024061237
LAD,2021-01-15,23994.0,32.0,71847.0,0.33395966428660906
LAD,2021-01-19,16492.0,105.0,52317.0,0.31523214251581705
LAD,2021-01-20,48277.0,0.0,91031.0,0.5303358196658281
LAD,2021-01-21,28992.0,100.0,48648.0,0.5959546127281697
LAD,2021-01-22,33532.0,175.0,96182.0,0.3486307209249132
LAD,2021-01-25,80510.0,0.0,137009.0,0.5876256304330373
LAD,2021-01-26,44104.0,0.0,85655.0,0.514902807775378
LAD,2021-01-27,65907.0,0.0,110453.0,0.5966972377391289
LAD,2021-01-28,27336.0,0.0,53012.0,0.5156568324153022
LAD,2021-01-29,27585.0,0.0,39973.0,0.690090811297626
GME,2021-01-04,2290920.0,19193.0,3837336.0,0.5970079242474466
GME,2021-01-05,554104.0,21223.0,1714247.0,0.32323463304879635
GME,2021-01-06,610215.0,15085.0,2098770.0,0.290748867193642
GME,2021-01-07,925446.0,17787.0,2486740.0,0.37215229577680015
GME,2021-01-08,1071479.0,4537.0,2512653.0,0.4264333356018519
GME,2021-01-11,2941375.0,20105.0,5130163.0,0.5733492288646579
GME,2021-01-12,1209723.0,27607.0,2089082.0,0.5790691796683902
GME,2021-01-13,32890183.0,592852.0,60039420.0,0.5478098056243714
GME,2021-01-14,10803089.0,158346.0,36528853.0,0.2957412596557576
GME,2021-01-15,5479234.0,205192.0,18112270.0,0.30251503538761293
GME,2021-01-19,9237805.0,438825.0,31242843.0,0.2956774772385471
GME,2021-01-20,4502240.0,47473.0,13588159.0,0.3313355400095039
GME,2021-01-21,7270860.0,108321.0,24069273.0,0.3020805821596689
GME,2021-01-22,24371588.0,684681.0,69838143.0,0.34897245191642623
GME,2021-01-25,21229726.0,393230.0,52127978.0,0.4072616436417311
GME,2021-01-26,19847959.0,513676.0,56923379.0,0.3486785104587695
GME,2021-01-27,11737395.0,155817.0,21125354.0,0.5556070208338284
GME,2021-01-28,8102481.0,367140.0,15436078.0,0.5249054196279651
GME,2021-01-29,6830398.0,296436.0,12285609.0,0.555967392418235
BLDR,2021-01-04,476406.0,1305.0,642235.0,0.7417938916440244
BLDR,2021-01-05,374178.0,799.0,735711.0,0.5085937277001431
BLDR,2021-01-06,366054.0,33879.0,754858.0,0.4849309406537389
BLDR,2021-01-07,220175.0,3121.0,533461.0,0.41272932791712985
BLDR,2021-01-08,259251.0,879.0,1122110.0,0.23103884645890332
BLDR,2021-01-11,148594.0,100.0,565818.0,0.2626180149800819
BLDR,2021-01-12,168165.0,0.0,939890.0,0.17891987360223005
BLDR,2021-01-13,246481.0,9877.0,511151.0,0.48220780160852666
BLDR,2021-01-14,172758.0,200.0,942056.0,0.183384002649524
BLDR,2021-01-15,376825.0,1785.0,1102094.0,0.3419172956208817
BLDR,2021-01-19,183015.0,112.0,841340.0,0.21752799106187748
BLDR,2021-01-20,216769.0,3105.0,1373864.0,0.15778053722930363
BLDR,2021-01-21,289935.0,2300.0,726637.0,0.3990094090997293
BLDR,2021-01-22,161022.0,1023.0,678475.0,0.23732930469066657
BLDR,2021-01-25,188496.0,3500.0,579088.0,0.32550493189290747
BLDR,2021-01-26,139114.0,0.0,432133.0,0.321924037275561
BLDR,2021-01-27,213163.0,350.0,671633.0,0.31738017637608634
BLDR,2021-01-28,162859.0,1302.0,409523.0,0.39767973959948527
BLDR,2021-01-29,128871.0,600.0,265070.0,0.486177236201758
DECK,2021-01-04,41926.0,70.0,73642.0,0.5693218543765786
DECK,2021-01-05,36679.0,0.0,70384.0,0.5211269606728802
DECK,2021-01-06,69505.0,100.0,103912.0,0.6688832858572639
DECK,2021-01-07,45587.0,0.0,95971.0,0.4750080753560972
DECK,2021-01-08,30399.0,140.0,173616.0,0.17509330937240808
DECK,2021-01-11,39594.0,0.0,96310.0,0.4111099574291351
DECK,2021-01-12,37436.0,0.0,103460.0,0.3618403247631935
DECK,2021-01-13,35623.0,0.0,105071.0,0.339037412797061
DECK,2021-01-14,40186.0,0.0,167681.0,0.23965744479100196
DECK,2021-01-15,36898.0,0.0,67197.0,0.5491018944298108
DECK,2021-01-19,39519.0,0.0,79760.0,0.49547392176529587
DECK,2021-01-20,28484.0,0.0,77081.0,0.3695333480364811
DECK,2021-01-21,29479.0,0.0,83560.0,0.3527884155098133
DECK,2021-01-22,19317.0,0.0,52103.0,0.3707464061570351
DECK,2021-01-25,23332.0,0.0,78906.0,0.2956936101183687
DECK,2021-01-26,24445.0,0.0,75671.0,0.32304317373894886
DECK,2021-01-27,60022.0,0.0,234548.0,0.2559049746746935
DECK,2021-01-28,40037.0,0.0,185863.0,0.21541135137170928
DECK,2021-01-29,49474.0,0.0,75646.0,0.6540200407159664
NTRA,2021-01-04,95240.0,100.0,278447.0,0.34203995733478904
NTRA,2021-01-05,87363.0,0.0,347824.0,0.25117013202079214
NTRA,2021-01-06,84209.0,0.0,373634.0,0.22537831139564388
NTRA,2021-01-07,99637.0,0.0,499976.0,0.19928356561114932
NTRA,2021-01-08,118340.0,0.0,234250.0,0.5051867662753469
NTRA,2021-01-11,70502.0,0.0,162668.0,0.4334103818821157
NTRA,2021-01-12,152980.0,0.0,199835.0,0.7655315635399205
NTRA,2021-01-13,137430.0,0.0,269530.0,0.5098875820873372
NTRA,2021-01-14,138264.0,8.0,359329.0,0.384783861029864
NTRA,2021-01-15,126789.0,2800.0,347488.0,0.36487303158670226
NTRA,2021-01-19,111481.0,0.0,220640.0,0.5052619651921683
NTRA,2021-01-20,151392.0,0.0,342559.0,0.44194430740398005
NTRA,2021-01-21,99614.0,254.0,233841.0,0.42599030965485096
NTRA,2021-01-22,123995.0,0.0,286099.0,0.43339892834298616
NTRA,2021-01-25,628657.0,1205.0,1015469.0,0.6190804446024448
NTRA,2021-01-26,75914.0,0.0,314861.0,0.24110321697510964
NTRA,2021-01-27,164328.0,4.0,616100.0,0.2667229345885408
NTRA,2021-01-28,63870.0,0.0,348698.0,0.1831670958823968
NTRA,2021-01-29,63895.0,707.0,205017.0,0.3116570820956311
RUN,2021-01-04,410564.0,12709.0,978825.0,0.41944576405384004
RUN,2021-01-05,352815.0,3919.0,1084610.0,0.32529204045693844
RUN,2021-01-06,1256288.0,12587.0,4010931.0,0.3132160588152726
RUN,2021-01-07,1025774.0,3803.0,3148134.0,0.3258355584609804
RUN,2021-01-08,689289.0,2487.0,2233392.0,0.3086287584087343
RUN,2021-01-11,836369.0,10838.0,2495711.0,0.3351225362231444
RUN,2021-01-12,341237.0,1065.0,1581983.0,0.21570206506643877
RUN,2021-01-13,251383.0,5551.0,1236008.0,0.20338298781237663
RUN,2021-01-14,531911.0,1587.0,1803206.0,0.29498071767729256
RUN,2021-01-15,416763.0,2168.0,1384720.0,0.30097275983592353
RUN,2021-01-19,395277.0,215.0,1350649.0,0.29265708559366643
RUN,2021-01-20,419861.0,407.0,2305092.0,0.18214500766129943
RUN,2021-01-21,1328526.0,4262.0,3669308.0,0.3620644546601158
RUN,2021-01-22,457858.0,729.0,1615949.0,0.2833369122416611
RUN,2021-01-25,701753.0,1738.0,2329614.0,0.3012314486434233
RUN,2021-01-26,609357.0,2500.0,1551443.0,0.39276789414757746
RUN,2021-01-27,608685.0,901.0,1768685.0,0.3441455092342616
RUN,2021-01-28,818809.0,350.0,1757526.0,0.4658872756363206
RUN,2021-01-29,737026.0,1024.0,1332416.0,0.5531500672462655
CHDN,2021-01-04,25558.0,0.0,62736.0,0.4073896965059934
CHDN,2021-01-05,37927.0,0.0,58536.0,0.6479260625939592
CHDN,2021-01-06,52546.0,0.0,75186.0,0.6988801106588992
CHDN,2021-01-07,45393.0,0.0,65153.0,0.6967138888462542
CHDN,2021-01-08,20030.0,0.0,31753.0,0.6308065379649167
CHDN,2021-01-11,13895.0,100.0,26685.0,0.5207045156454937
CHDN,2021-01-12,17470.0,221.0,28346.0,0.6163127072602836
CHDN,2021-01-13,24812.0,150.0,41753.0,0.5942567001173569
CHDN,2021-01-14,16201.0,0.0,28447.0,0.5695152388652582
CHDN,2021-01-15,17113.0,400.0,30077.0,0.568972969378595
CHDN,2021-01-19,18320.0,0.0,28513.0,0.6425139410093641
CHDN,2021-01-20,46878.0,0.0,93022.0,0.503945303261594
CHDN,2021-01-21,15435.0,2.0,28475.0,0.542054433713784
CHDN,2021-01-22,22560.0,54.0,33105.0,0.6814680561848664
CHDN,2021-01-25,51742.0,100.0,103171.0,0.5015168991286311
CHDN,2021-01-26,18114.0,617.0,44137.0,0.41040396945873076
CHDN,2021-01-27,37139.0,6.0,94532.0,0.39287225489781236
CHDN,2021-01-28,25203.0,0.0,60198.0,0.4186683942988139
CHDN,2021-01-29,28188.0,0.0,95773.0,0.294320946404519
CLF,2021-01-04,2704358.0,28500.0,3896728.0,0.6940073826040719
CLF,2021-01-05,2897531.0,28169.0,5770960.0,0.5020882140926293
CLF,2021-01-06,3496878.0,31260.0,7986389.0,0.4378547050488024
CLF,2021-01-07,2736899.0,22385.0,5350976.0,0.5114765979141002
CLF,2021-01-08,2593946.0,11811.0,4593651.0,0.5646806864518006
CLF,2021-01-11,1951315.0,20342.0,4075593.0,0.47878063388567016
CLF,2021-01-12,1574320.0,20170.0,3162011.0,0.49788568097960445
CLF,2021-01-13,1509792.0,13635.0,3156873.0,0.4782555395798311
CLF,2021-01-14,1705961.0,18164.0,3302625.0,0.5165469891374286
CLF,2021-01-15,2752909.0,17492.0,7244700.0,0.3799893715405745
