Date,S&P500,DJ30,sp500_rtn,DJ30_rtn
2020-02-11,3357.75,29276.339844,0.001688,-1.6e-05
2020-02-12,3379.449951,29551.419922,0.006463,0.009396
2020-02-13,3373.939941,29423.310547,-0.00163,-0.004335
2020-02-14,3380.159912,29398.080078,0.001844,-0.000857
2020-02-18,3370.290039,29232.189453,-0.00292,-0.005643
2020-02-19,3386.149902,29348.029297,0.004706,0.003963
2020-02-20,3373.22998,29219.980469,-0.003816,-0.004363
2020-02-21,3337.75,28992.410156,-0.010518,-0.007788
2020-02-24,3225.889893,27960.800781,-0.033514,-0.035582
2020-02-25,3128.209961,27081.359375,-0.03028,-0.031453
2020-02-26,3116.389893,26957.589844,-0.003779,-0.00457
2020-02-27,2978.76001,25766.640625,-0.044163,-0.044179
2020-02-28,2954.219971,25409.359375,-0.008238,-0.013866
2020-03-02,3090.22998,26703.320312,0.046039,0.050925
2020-03-03,3003.370117,25917.410156,-0.028108,-0.029431
2020-03-04,3130.120117,27090.859375,0.042203,0.045276
2020-03-05,3023.939941,26121.279297,-0.033922,-0.03579
2020-03-06,2972.370117,25864.779297,-0.017054,-0.00982
2020-03-09,2746.560059,23851.019531,-0.07597,-0.077857
2020-03-10,2882.22998,25018.160156,0.049396,0.048935
2020-03-11,2741.379883,23553.220703,-0.048868,-0.058555
2020-03-12,2480.639893,21200.619141,-0.095113,-0.099884
2020-03-13,2711.02002,23185.619141,0.092871,0.093629
2020-03-16,2386.129883,20188.519531,-0.119841,-0.129265
2020-03-17,2529.189941,21237.380859,0.059955,0.051953
2020-03-18,2398.100098,19898.919922,-0.051831,-0.063024
2020-03-19,2409.389893,20087.189453,0.004708,0.009461
2020-03-20,2304.919922,19173.980469,-0.04336,-0.045462
2020-03-23,2237.399902,18591.929688,-0.029294,-0.030356
2020-03-24,2447.330078,20704.910156,0.093828,0.11365
2020-03-25,2475.560059,21200.550781,0.011535,0.023938
2020-03-26,2630.070068,22552.169922,0.062414,0.063754
2020-03-27,2541.469971,21636.779297,-0.033687,-0.04059
2020-03-30,2626.649902,22327.480469,0.033516,0.031923
2020-03-31,2584.590088,21917.160156,-0.016013,-0.018377
2020-04-01,2470.5,20943.509766,-0.044142,-0.044424
2020-04-02,2526.899902,21413.439453,0.022829,0.022438
2020-04-03,2488.649902,21052.529297,-0.015137,-0.016854
2020-04-06,2663.679932,22679.990234,0.070331,0.077305
2020-04-07,2659.409912,22653.859375,-0.001603,-0.001152
2020-04-08,2749.97998,23433.570312,0.034056,0.034418
2020-04-09,2789.820068,23719.369141,0.014487,0.012196
2020-04-13,2761.629883,23390.769531,-0.010105,-0.013854
2020-04-14,2846.060059,23949.759766,0.030573,0.023898
2020-04-15,2783.360107,23504.349609,-0.02203,-0.018598
2020-04-16,2799.550049,23537.679688,0.005817,0.001418
2020-04-17,2874.560059,24242.490234,0.026794,0.029944
2020-04-20,2823.159912,23650.439453,-0.017881,-0.024422
2020-04-21,2736.560059,23018.880859,-0.030675,-0.026704
2020-04-22,2799.310059,23475.820312,0.02293,0.019851
2020-04-23,2797.800049,23515.259766,-0.000539,0.00168
2020-04-24,2836.73999,23775.269531,0.013918,0.011057
2020-04-27,2878.47998,24133.779297,0.014714,0.015079
2020-04-28,2863.389893,24101.550781,-0.005242,-0.001335
2020-04-29,2939.51001,24633.859375,0.026584,0.022086
2020-04-30,2912.429932,24345.720703,-0.009212,-0.011697
2020-05-01,2830.709961,23723.689453,-0.028059,-0.02555
2020-05-04,2842.73999,23749.759766,0.00425,0.001099
2020-05-05,2868.439941,23883.089844,0.009041,0.005614
2020-05-06,2848.419922,23664.640625,-0.006979,-0.009147
2020-05-07,2881.189941,23875.890625,0.011505,0.008927
2020-05-08,2929.800049,24331.320312,0.016872,0.019075
2020-05-11,2930.189941,24221.990234,0.000133,-0.004493
2020-05-12,2870.120117,23764.779297,-0.0205,-0.018876
2020-05-13,2820.0,23247.970703,-0.017463,-0.021747
2020-05-14,2852.5,23625.339844,0.011525,0.016232
2020-05-15,2863.699951,23685.419922,0.003926,0.002543
2020-05-18,2953.909912,24597.369141,0.031501,0.038503
2020-05-19,2922.939941,24206.859375,-0.010484,-0.015876
2020-05-20,2971.610107,24575.900391,0.016651,0.015245
2020-05-21,2948.51001,24474.119141,-0.007774,-0.004142
2020-05-22,2955.449951,24465.160156,0.002354,-0.000366
2020-05-26,2991.77002,24995.109375,0.012289,0.021661
2020-05-27,3036.129883,25548.269531,0.014827,0.022131
2020-05-28,3029.72998,25400.640625,-0.002108,-0.005778
2020-05-29,3044.310059,25383.109375,0.004812,-0.00069
2020-06-01,3055.72998,25475.019531,0.003751,0.003621
2020-06-02,3080.820068,25742.650391,0.008211,0.010506
2020-06-03,3122.870117,26269.890625,0.013649,0.020481
2020-06-04,3112.350098,26281.820312,-0.003369,0.000454
2020-06-05,3193.929932,27110.980469,0.026212,0.031549
2020-06-08,3232.389893,27572.439453,0.012042,0.017021
2020-06-09,3207.179932,27272.300781,-0.007799,-0.010885
2020-06-10,3190.139893,26989.990234,-0.005313,-0.010352
2020-06-11,3002.100098,25128.169922,-0.058944,-0.068982
2020-06-12,3041.310059,25605.539062,0.013061,0.018997
2020-06-15,3066.590088,25763.160156,0.008312,0.006156
2020-06-16,3124.73999,26289.980469,0.018962,0.020449
2020-06-17,3113.48999,26119.609375,-0.0036,-0.00648
2020-06-18,3115.340088,26080.099609,0.000594,-0.001513
2020-06-19,3097.73999,25871.460938,-0.005649,-0.008
2020-06-22,3117.860107,26024.960938,0.006495,0.005933
2020-06-23,3131.290039,26156.099609,0.004307,0.005039
2020-06-24,3050.330078,25445.939453,-0.025855,-0.027151
2020-06-25,3083.76001,25745.599609,0.010959,0.011776
2020-06-26,3009.050049,25015.550781,-0.024227,-0.028356
2020-06-29,3053.23999,25595.800781,0.014686,0.023196
2020-06-30,3100.290039,25812.880859,0.01541,0.008481
2020-07-01,3115.860107,25734.970703,0.005022,-0.003018
2020-07-02,3130.01001,25827.359375,0.004541,0.00359
2020-07-06,3179.719971,26287.029297,0.015882,0.017798
2020-07-07,3145.320068,25890.179688,-0.010819,-0.015097
2020-07-08,3169.939941,26067.279297,0.007827,0.00684
2020-07-09,3152.050049,25706.089844,-0.005644,-0.013856
2020-07-10,3185.040039,26075.300781,0.010466,0.014363
2020-07-13,3155.219971,26085.800781,-0.009363,0.000403
2020-07-14,3197.52002,26642.589844,0.013406,0.021345
2020-07-15,3226.560059,26870.099609,0.009082,0.008539
2020-07-16,3215.570068,26734.710938,-0.003406,-0.005039
2020-07-17,3224.72998,26671.949219,0.002849,-0.002348
2020-07-20,3251.840088,26680.869141,0.008407,0.000334
2020-07-21,3257.300049,26840.400391,0.001679,0.005979
2020-07-22,3276.02002,27005.839844,0.005747,0.006164
2020-07-23,3235.659912,26652.330078,-0.01232,-0.01309
2020-07-24,3215.629883,26469.890625,-0.00619,-0.006845
2020-07-27,3239.409912,26584.769531,0.007395,0.00434
2020-07-28,3218.439941,26379.279297,-0.006473,-0.00773
2020-07-29,3258.439941,26539.570312,0.012428,0.006076
2020-07-30,3246.219971,26313.650391,-0.00375,-0.008513
2020-07-31,3271.120117,26428.320312,0.007671,0.004358
2020-08-03,3294.610107,26664.400391,0.007181,0.008933
2020-08-04,3306.51001,26828.470703,0.003612,0.006153
2020-08-05,3327.77002,27201.519531,0.00643,0.013905
2020-08-06,3349.159912,27386.980469,0.006428,0.006818
2020-08-07,3351.280029,27433.480469,0.000633,0.001698
2020-08-10,3360.469971,27791.439453,0.002742,0.013048
2020-08-11,3333.689941,27686.910156,-0.007969,-0.003761
2020-08-12,3380.350098,27976.839844,0.013997,0.010472
2020-08-13,3373.429932,27896.720703,-0.002047,-0.002864
2020-08-14,3372.850098,27931.019531,-0.000172,0.001229
2020-08-17,3381.98999,27844.910156,0.00271,-0.003083
2020-08-18,3389.780029,27778.070312,0.002303,-0.0024
2020-08-19,3374.850098,27692.880859,-0.004404,-0.003067
2020-08-20,3385.51001,27739.730469,0.003159,0.001692
2020-08-21,3397.159912,27930.330078,0.003441,0.006871
2020-08-24,3431.280029,28308.460938,0.010044,0.013538
2020-08-25,3443.620117,28248.439453,0.003596,-0.00212
2020-08-26,3478.72998,28331.919922,0.010196,0.002955
2020-08-27,3484.550049,28492.269531,0.001673,0.00566
2020-08-28,3508.01001,28653.869141,0.006733,0.005672
2020-08-31,3500.310059,28430.050781,-0.002195,-0.007811
2020-09-01,3526.649902,28645.660156,0.007525,0.007584
2020-09-02,3580.840088,29100.5,0.015366,0.015878
2020-09-03,3455.060059,28292.730469,-0.035126,-0.027758
2020-09-04,3426.959961,28133.310547,-0.008133,-0.005635
2020-09-08,3331.840088,27500.890625,-0.027756,-0.022479
2020-09-09,3398.959961,27940.470703,0.020145,0.015984
2020-09-10,3339.189941,27534.580078,-0.017585,-0.014527
2020-09-11,3340.969971,27665.640625,0.000533,0.00476
2020-09-14,3383.540039,27993.330078,0.012742,0.011845
2020-09-15,3401.199951,27995.599609,0.005219,8.1e-05
2020-09-16,3385.48999,28032.380859,-0.004619,0.001314
2020-09-17,3357.01001,27901.980469,-0.008412,-0.004652
2020-09-18,3319.469971,27657.419922,-0.011183,-0.008765
2020-09-21,3281.060059,27147.699219,-0.011571,-0.01843
2020-09-22,3315.570068,27288.179688,0.010518,0.005175
2020-09-23,3236.919922,26763.130859,-0.023721,-0.019241
