Date,BTC,ETH,BNB,XRP,USDT,DOGE,ADA,BCH,LTC,LINK,BTC_rtn,ETH_rtn,BNB_rtn,XRP_rtn,USDT_rtn,DOGE_rtn,ADA_rtn,BCH_rtn,LTC_rtn,LINK_rtn
2019-06-03,7707.770996,241.338791,29.380625,0.400667,0.995063,0.003042,0.082486,382.660156,102.087822,0.88325,-0.061058,-0.044611,-0.064072,-0.058946,-0.004501,-0.04878,-0.07014,-0.063622,-0.050068,-0.030428
2019-06-04,7824.231445,247.05101,31.006264,0.402732,1.005081,0.00307,0.083438,398.383087,103.849289,1.077118,0.015109,0.023669,0.05533,0.005154,0.010068,0.009204,0.011541,0.041088,0.017254,0.219494
2019-06-05,7822.023438,249.474335,31.480104,0.41954,1.00367,0.003087,0.083472,396.929535,111.107224,1.119633,-0.000282,0.009809,0.015282,0.041735,-0.001404,0.005537,0.000407,-0.003649,0.069889,0.039471
2019-06-06,8043.951172,250.930359,31.587482,0.42313,1.00665,0.00311,0.085807,401.433777,117.374413,1.177613,0.028372,0.005836,0.003411,0.008557,0.002969,0.007451,0.027974,0.011348,0.056407,0.051785
2019-06-07,7954.12793,245.738098,32.066322,0.412411,1.004727,0.003084,0.084213,394.240112,118.552032,1.15262,-0.011167,-0.020692,0.015159,-0.025333,-0.00191,-0.00836,-0.018577,-0.01792,0.010033,-0.021223
2019-06-08,7688.077148,233.0867,30.558287,0.388266,1.002971,0.003012,0.07947,381.166351,115.132301,1.073253,-0.033448,-0.051483,-0.047029,-0.058546,-0.001748,-0.023346,-0.056321,-0.033162,-0.028846,-0.068858
2019-06-09,8000.32959,247.520126,32.064728,0.400427,1.005629,0.003091,0.085537,394.582153,129.071442,1.191716,0.040615,0.061923,0.049297,0.031321,0.00265,0.026228,0.076343,0.035197,0.121071,0.110377
2019-06-10,7927.714355,245.78183,32.262657,0.394261,1.005074,0.003058,0.087965,387.910736,136.029739,1.138305,-0.009077,-0.007023,0.006173,-0.015399,-0.000552,-0.010676,0.028385,-0.016908,0.05391,-0.044819
2019-06-11,8145.857422,260.90329,34.686386,0.40176,1.002928,0.003067,0.096525,396.380524,135.653748,1.142759,0.027517,0.061524,0.075125,0.01902,-0.002135,0.002943,0.097311,0.021834,-0.002764,0.003913
2019-06-12,8230.923828,256.168793,35.143143,0.400887,1.001899,0.003074,0.089739,411.941711,131.351761,1.84792,0.010443,-0.018147,0.013168,-0.002173,-0.001026,0.002282,-0.070303,0.039258,-0.031713,0.617069
2019-06-13,8693.833008,264.087463,33.076382,0.405921,1.006155,0.003124,0.090619,421.286896,133.053268,1.676558,0.05624,0.030912,-0.05881,0.012557,0.004248,0.016266,0.009806,0.022686,0.012954,-0.092732
2019-06-14,8838.375,269.019318,32.825863,0.410419,1.00556,0.003157,0.091683,422.826935,138.12709,1.721303,0.016626,0.018675,-0.007574,0.011081,-0.000591,0.010563,0.011741,0.003656,0.038134,0.026689
2019-06-15,8994.488281,269.223206,32.402725,0.427516,1.002959,0.003186,0.092321,428.320892,137.122253,1.673432,0.017663,0.000758,-0.01289,0.041657,-0.002587,0.009186,0.006959,0.012993,-0.007275,-0.027811
2019-06-16,9320.352539,274.351105,33.917877,0.44808,1.004986,0.00319,0.093557,432.517212,134.438095,1.971635,0.036229,0.019047,0.04676,0.048101,0.002021,0.001256,0.013388,0.009797,-0.019575,0.178198
2019-06-17,9081.762695,265.051849,34.339508,0.428761,0.999952,0.003125,0.089148,413.940948,135.158737,1.818537,-0.025599,-0.033895,0.012431,-0.043115,-0.005009,-0.020376,-0.047126,-0.042949,0.00536,-0.07765
2019-06-18,9273.521484,269.431793,35.287197,0.436817,1.002128,0.00313,0.089979,416.910828,136.603195,1.838441,0.021115,0.016525,0.027598,0.018789,0.002176,0.0016,0.009322,0.007175,0.010687,0.010945
2019-06-19,9527.160156,271.695007,36.726063,0.429823,1.000227,0.003161,0.087385,413.557739,135.479843,1.765551,0.027351,0.0084,0.040776,-0.016011,-0.001897,0.009904,-0.028829,-0.008043,-0.008223,-0.039648
2019-06-20,10144.556641,294.910278,38.815918,0.443188,1.002799,0.003223,0.089562,439.45462,138.883759,1.702871,0.064804,0.085446,0.056904,0.031094,0.002571,0.019614,0.024913,0.06262,0.025125,-0.035502
2019-06-21,10701.691406,309.38031,37.799755,0.474764,0.995817,0.003279,0.094367,480.172241,141.903046,1.838553,0.05492,0.049066,-0.026179,0.071247,-0.006963,0.017375,0.05365,0.092655,0.02174,0.079678
2019-06-22,10855.371094,307.827789,37.134727,0.468291,0.996691,0.003304,0.096644,475.017181,136.882172,1.801375,0.01436,-0.005018,-0.017593,-0.013634,0.000878,0.007624,0.024129,-0.010736,-0.035382,-0.020221
2019-06-23,11011.102539,310.424683,37.43364,0.470088,0.997842,0.003368,0.097719,476.25412,135.532761,1.860334,0.014346,0.008436,0.008049,0.003837,0.001155,0.01937,0.011123,0.002604,-0.009858,0.03273
2019-06-24,11790.916992,318.126312,36.008289,0.468229,0.999333,0.003392,0.096357,479.814423,136.489395,2.189712,0.070821,0.02481,-0.038077,-0.003955,0.001494,0.007126,-0.013938,0.007476,0.007058,0.177053
2019-06-25,13016.231445,336.753174,35.698311,0.467451,0.991819,0.003379,0.09682,485.569305,131.265091,2.26156,0.10392,0.058552,-0.008609,-0.001662,-0.007519,-0.003833,0.004805,0.011994,-0.038276,0.032812
2019-06-26,11182.806641,294.267639,33.823589,0.408754,0.985739,0.003329,0.086449,413.270447,114.40477,2.267606,-0.140857,-0.126162,-0.052516,-0.125568,-0.00613,-0.014797,-0.107116,-0.148895,-0.128445,0.002673
2019-06-27,12407.332031,311.226105,34.54974,0.427315,1.000664,0.00349,0.089295,436.796814,120.150093,2.961826,0.109501,0.057629,0.021469,0.045409,0.015141,0.048363,0.032921,0.056927,0.050219,0.306147
2019-06-28,11959.371094,320.058899,35.360107,0.429378,0.998604,0.003405,0.090422,442.722748,133.662781,3.703152,-0.036105,0.028381,0.023455,0.004828,-0.002059,-0.024355,0.012621,0.013567,0.112465,0.250294
