Date,sp500_rtn,DJ30_rtn,BTC_rtn,ETH_rtn,BNB_rtn,XRP_rtn,USDT_rtn,DOGE_rtn,ADA_rtn,BCH_rtn,LTC_rtn,LINK_rtn,_merge
2019-06-19,0.0029850000000000002,0.0014529999999999999,0.027351,0.0084,0.040776,-0.016011,-0.0018969999999999998,0.009904000000000001,-0.028829,-0.008043000000000002,-0.008223000000000001,-0.039648,both
2019-06-20,0.009472,0.009401000000000001,0.064804,0.08544600000000001,0.056903999999999996,0.031094,0.002571,0.019614,0.024913,0.06262000000000001,0.025125,-0.035502,both
2019-06-21,-0.001259,-0.0012720000000000001,0.054920000000000004,0.049066000000000005,-0.026179,0.071247,-0.006963,0.017375,0.05365,0.092655,0.02174,0.079678,both
2019-06-24,-0.001732,0.000315,0.07082100000000001,0.02481,-0.038077,-0.003954999999999999,0.0014939999999999999,0.007126,-0.013937999999999999,0.007476000000000001,0.007058,0.177053,both
2019-06-25,-0.009496,-0.0067090000000000006,0.10392,0.058552,-0.008609,-0.001662,-0.007519,-0.003833,0.004804999999999999,0.011994,-0.038276,0.032812,both
2019-06-26,-0.001234,-0.000429,-0.14085699999999998,-0.126162,-0.052516,-0.125568,-0.00613,-0.014797,-0.107116,-0.148895,-0.128445,0.002673,both
2019-06-27,0.0038229999999999996,-0.000386,0.109501,0.057629,0.021469,0.045409,0.015141,0.048362999999999996,0.032921,0.056927,0.050219,0.306147,both
2019-06-28,0.005757,0.0027660000000000002,-0.036105,0.028381,0.023455,0.004828,-0.002059,-0.024355,0.012620999999999999,0.013567,0.11246500000000001,0.250294,both
2019-07-01,0.007672,0.004416,0.02065,-0.006963,-0.027733999999999998,-0.016364,0.006855,-0.0105,-0.032748,-0.021021,-0.027247000000000004,0.014884,both
2019-07-02,0.002928,0.002592,0.107353,0.03945,0.020565,0.020809,0.002129,0.03402,0.023694,0.036094,0.027846,-0.030798000000000002,both
2019-07-03,0.007672,0.006693999999999999,-0.062354,-0.061288999999999996,0.006913,-0.048498,-0.0050609999999999995,-0.025355000000000003,-0.062941,-0.049499,-0.021109,-0.013663,both
2019-07-05,-0.0018059999999999999,-0.001627,0.020958,-0.001564,-0.00557,0.026628,-0.004252000000000001,-0.08275199999999999,0.010492,0.012364,-0.004469,-0.040107,both
2019-07-08,-0.004835,-0.004308,0.02343,-0.013952,-0.022768,-0.018341999999999997,-0.002395,-0.00281,-0.030854000000000003,-0.006104999999999999,-0.03125,-0.066794,both
2019-07-09,0.0012369999999999998,-0.0008449999999999999,-0.033188,-0.06112000000000001,-0.037614,-0.07710700000000001,-0.002433,-0.035220999999999995,-0.07761,-0.062092999999999995,-0.09153700000000001,0.001725,both
2019-07-10,0.004511,0.0028640000000000002,-0.06563200000000001,-0.073442,-0.058309,-0.091925,-0.0032689999999999998,-0.052862,-0.093703,-0.113669,-0.053972000000000006,-0.093377,both
2019-07-11,0.002285,0.008484,0.040262,0.028182,0.069238,0.041724000000000004,0.010197,0.029911,0.069863,0.024793,0.025873,0.122637,both
2019-07-12,0.00462,0.009006,-0.03585,-0.024678,-0.005913,-0.034694,-0.007929,-0.027246,-0.042779000000000005,-0.02682,-0.040601,-0.0010609999999999999,both
2019-07-15,0.000176,0.000993,-0.1301,-0.13311800000000001,-0.101025,-0.058939,-0.01226,-0.086352,-0.12572,-0.104958,-0.125634,-0.194555,both
2019-07-16,-0.003404,-0.00086,0.022807,0.061732,0.066389,0.046801,0.010384000000000001,0.07256599999999999,0.061227,0.034914,0.129696,0.08284,both
2019-07-17,-0.006531,-0.004236,0.10034,0.071311,0.062573,0.040445999999999996,0.00257,0.030032999999999997,0.063958,0.08075700000000001,0.125538,0.125808,both
2019-07-18,0.003582,0.00011499999999999999,-0.012727,-0.023096000000000002,0.005379,-0.007955,-0.005826,-0.019865,0.017269999999999997,-0.022406,-0.026539999999999998,-0.026218,both
2019-07-19,-0.006177,-0.002526,0.022449,0.035177,0.061689999999999995,0.039313,0.002058,0.019287000000000002,0.053038,0.052516999999999994,0.022431,0.013719,both
2019-07-22,0.002829,0.0006519999999999999,-0.042767,-0.022208000000000002,-0.034255,-0.037814,-0.002764,-0.039039,-0.061447,-0.038661,-0.05025,-0.022566,both
2019-07-23,0.006847,0.006525,-0.008973,0.020297,-0.014246,0.019427,0.00543,0.012153,0.057945,0.014292,0.040686,0.014511000000000001,both
