Date,BTC,ETH,BNB,XRP,USDT,DOGE,ADA,BCH,LTC,LINK
2019-04-25,16812108040.0,7505283355.0,253113255.0,1226933036.0,15229200868.0,33070494.0,83227768.0,1345116972.0,3041612619.0,5505480.0
2019-04-26,13111274675.0,5863109118.0,205615716.0,785963315.0,10698521526.0,27194224.0,50161507.0,910703481.0,2059777054.0,3901156.0
2019-04-27,12819992056.0,5379894433.0,222693167.0,721572911.0,10548623452.0,25600272.0,42979831.0,1007833364.0,2362638270.0,4170835.0
2019-04-28,13735490672.0,6053776253.0,201243334.0,890911784.0,12221464798.0,32974056.0,69287156.0,1326738644.0,2532498296.0,5230685.0
2019-04-29,13878964574.0,6275803460.0,190326179.0,1229331267.0,12702033347.0,34753261.0,62990602.0,1761938029.0,3065300354.0,6117527.0
2019-04-30,13679528236.0,5789172433.0,180070221.0,914654614.0,11389167590.0,30316782.0,58865338.0,1693067790.0,2871792311.0,4255127.0
2019-05-01,14644460907.0,6044171062.0,228233321.0,890538619.0,12403603820.0,34506272.0,55122571.0,1513870927.0,2903392114.0,3212373.0
2019-05-02,18720780006.0,7299410672.0,218859579.0,1221399046.0,16697196560.0,40969776.0,77726744.0,2046668051.0,3850339792.0,6755514.0
2019-05-03,17567780766.0,6658100049.0,193177736.0,1162919063.0,15580791271.0,39814872.0,75467767.0,2665107945.0,3502670655.0,4501322.0
2019-05-04,14808830723.0,5938415562.0,171107466.0,805245812.0,12450308259.0,33161934.0,49098473.0,1995769808.0,2650746461.0,4844367.0
2019-05-05,15737171804.0,7540096853.0,175856220.0,1048970512.0,14133150896.0,37020800.0,60289464.0,1766785841.0,2933488799.0,11999352.0
2019-05-06,18026409033.0,8411140170.0,171922295.0,1082385112.0,16055442570.0,38143865.0,53650714.0,1773389358.0,3088433048.0,16169094.0
2019-05-07,15320605300.0,6416569598.0,247852849.0,927526280.0,12724666198.0,32200704.0,40605280.0,1423796801.0,2532851418.0,9757958.0
2019-05-08,16784645411.0,6546914198.0,204395709.0,857521678.0,13582927983.0,30720237.0,60306853.0,1481835612.0,2436426305.0,23088642.0
2019-05-09,19419875368.0,8036919053.0,209097573.0,1057594529.0,16345518855.0,32480633.0,87926146.0,1807016333.0,3051537532.0,17084493.0
2019-05-10,28867562329.0,12578331654.0,298063616.0,2226303541.0,26823706394.0,48521874.0,187252193.0,3587276404.0,5491744173.0,17115294.0
2019-05-11,27773333680.0,10326050090.0,239206084.0,2000224167.0,26115401657.0,44577097.0,141023789.0,4136205097.0,5582599422.0,11180413.0
2019-05-12,28677672181.0,10367149039.0,404049210.0,1973949373.0,24593762690.0,47011255.0,124764723.0,3775372869.0,4658762984.0,10869526.0
2019-05-13,32031452227.0,12751049755.0,328207185.0,5834207845.0,31171158466.0,58434920.0,192076841.0,3490443261.0,4930071296.0,42446071.0
2019-05-14,28344112920.0,13460006534.0,357899657.0,4535603094.0,27509475185.0,57673254.0,207490352.0,3374131496.0,5168624436.0,20109177.0
2019-05-15,33167197581.0,18661465873.0,368906500.0,4730708975.0,34137196163.0,68128483.0,270983572.0,4522945333.0,6442000276.0,33573495.0
2019-05-16,30066644905.0,16037551694.0,398169924.0,3644156225.0,32783960324.0,66495399.0,208531470.0,3639603283.0,5319840521.0,39447831.0
2019-05-17,21354286562.0,10933142646.0,470683583.0,1866646601.0,21555335780.0,54849676.0,116482955.0,2276729590.0,3317998478.0,20589987.0
2019-05-18,25902422040.0,12049250894.0,494423260.0,2803922255.0,26838449167.0,63883932.0,145752504.0,3347689966.0,4108852208.0,39610667.0
2019-05-19,23843404340.0,10834541285.0,457260435.0,2258366889.0,23800323103.0,56440462.0,133738559.0,2932575975.0,3566921483.0,28566429.0
2019-05-20,25127245056.0,11545049593.0,742382920.0,1811582122.0,21591636939.0,54845691.0,97465477.0,2894337881.0,3145769021.0,98438799.0
2019-05-21,24719473175.0,9818257463.0,534057314.0,2028827460.0,21111582275.0,60016531.0,130856368.0,2493471577.0,3398528443.0,118738675.0
2019-05-22,24457107820.0,10671663487.0,536619660.0,1595345471.0,21455730501.0,55428477.0,101768393.0,2544348455.0,3208807269.0,62796580.0
2019-05-23,25919126991.0,9929433206.0,648459287.0,1872678192.0,23073515294.0,61767497.0,106320608.0,2441092695.0,5393657682.0,52112753.0
2019-05-24,22256813107.0,8924985385.0,637380073.0,1363572843.0,18881328532.0,58214409.0,62522128.0,1812156961.0,4507357465.0,52065174.0
2019-05-25,26677970091.0,9664267731.0,611208604.0,1848938650.0,21971964413.0,68909916.0,111190329.0,2311867234.0,5168378349.0,43379101.0
2019-05-26,27949839564.0,12074664736.0,598117911.0,2736949591.0,27213312566.0,76858482.0,171736300.0,2767017567.0,6355361291.0,58681258.0
2019-05-27,24226919267.0,10362846898.0,516116377.0,3193961851.0,24888400606.0,67850692.0,180587855.0,1995254776.0,4171886802.0,55908377.0
2019-05-28,23473479966.0,9819132174.0,564894524.0,2538438749.0,23307763254.0,74244761.0,154832177.0,2493988249.0,4122926836.0,41812375.0
2019-05-29,29246528551.0,13604268584.0,517229671.0,3527827315.0,31068176490.0,97252491.0,232348615.0,2988845095.0,4971290022.0,71072187.0
2019-05-30,25365190957.0,11255023515.0,503989734.0,2225730799.0,25677215086.0,85204091.0,136542079.0,2239642925.0,4207966341.0,48729261.0
2019-05-31,22488303544.0,9942869852.0,572703757.0,1740720642.0,22485000932.0,85093279.0,151835928.0,1774830914.0,3807158511.0,29166848.0
2019-06-01,20266216022.0,8744111713.0,461362658.0,1595105832.0,19634978743.0,74315769.0,187162218.0,1645915863.0,3434073037.0,23376401.0
2019-06-02,22004511436.0,9375712917.0,417996141.0,2544969218.0,22385023537.0,76817043.0,227861801.0,2062149881.0,3832352496.0,19415847.0
2019-06-03,24609731549.0,10132549747.0,421064886.0,2537240038.0,25914212183.0,77725735.0,184181602.0,2279486006.0,4316694183.0,25054880.0
2019-06-04,21760923463.0,8548917062.0,464095694.0,1768216479.0,21458472361.0,72561329.0,118371207.0,2659571174.0,3585162872.0,62912027.0
2019-06-05,19474611077.0,8265146806.0,416584078.0,2014934546.0,18802214962.0,71608123.0,154264121.0,1857674526.0,4142250662.0,74387222.0
2019-06-06,19141423231.0,8379534528.0,342881981.0,1659632775.0,18921026163.0,71288069.0,139056743.0,1571977471.0,5140908477.0,50396874.0
2019-06-07,16522722810.0,7225996863.0,428041268.0,1244578044.0,16292169466.0,69699426.0,126559142.0,1393738910.0,4689557936.0,18457927.0
2019-06-08,16610726547.0,7566421456.0,336574887.0,1575002838.0,17201793659.0,69438950.0,122067718.0,1326212608.0,4360301111.0,20498196.0
2019-06-09,18689275117.0,8141159848.0,459590416.0,1477656039.0,19122573655.0,69822843.0,139307413.0,1537080110.0,5449266884.0,25489176.0
2019-06-10,17107279932.0,7382269700.0,393897651.0,1186383476.0,16753427566.0,65070888.0,152723260.0,1316065000.0,5441787587.0,25861024.0
2019-06-11,19034432883.0,8645598618.0,547786335.0,1221700743.0,18810991260.0,69543166.0,247353618.0,1470454427.0,5855623530.0,27563661.0
2019-06-12,18669407147.0,8442077836.0,512885462.0,1209093571.0,18003592840.0,66973694.0,228176588.0,2044418533.0,4947794845.0,318719301.0
2019-06-13,19831162906.0,8676891267.0,737850145.0,1262403987.0,18830907639.0,59252853.0,205015950.0,1793749535.0,4352005824.0,344143609.0
2019-06-14,18371033226.0,8126853944.0,489033316.0,1344741903.0,17956308862.0,63436423.0,159441139.0,1566387915.0,4329002013.0,149453818.0
2019-06-15,23348550311.0,9676746453.0,389404410.0,1981370152.0,23029024600.0,68789112.0,197578317.0,1904693125.0,4372645801.0,119199289.0
2019-06-16,15562951919.0,6009795781.0,439337220.0,1979014573.0,15343961198.0,60386666.0,158000947.0,1454079245.0,3230230843.0,158900877.0
2019-06-17,15848210536.0,6205242504.0,484975596.0,1832910177.0,15771300771.0,54908991.0,146225453.0,1622477887.0,3720828769.0,117480216.0
2019-06-18,15546809946.0,5516510947.0,509791358.0,1150637870.0,14726683847.0,35562598.0,114753637.0,1297224300.0,4383960510.0,38209064.0
